cluster,label,candidate,valid_mape,n_valid,meta
-2,Truly sporadic,RF_Default,82.40819376757722,1071,{}
-2,Truly sporadic,LGBM_Default,85.35909765816878,1071,{}
-2,Truly sporadic,AggregateMLP_Disagg,111.20610675962998,1071,"{""params"": {""hidden_layer_sizes"": [16, 8], ""activation"": ""tanh"", ""solver"": ""lbfgs"", ""alpha"": 0.01, ""max_iter"": 1000, ""random_state"": 42}, ""n_aggregate_train_weeks"": 10, ""n_aggregate_pred_weeks"": 6, ""n_skus"": 1384}"
-1,Intermittent (Croston),RF_Default,77.54058942358859,3223,{}
-1,Intermittent (Croston),LGBM_Default,83.17132070317177,3223,{}
-1,Intermittent (Croston),AggregateMLP_Disagg,433.8649047474517,3223,"{""params"": {""hidden_layer_sizes"": [16, 8], ""activation"": ""tanh"", ""solver"": ""lbfgs"", ""alpha"": 0.01, ""max_iter"": 1000, ""random_state"": 42}, ""n_aggregate_train_weeks"": 10, ""n_aggregate_pred_weeks"": 6, ""n_skus"": 1711}"
0,High cancellation risk,RF_Default,102.4484963238696,325,{}
0,High cancellation risk,LGBM_Tuned,116.73453284104394,325,"{""params"": {""n_estimators"": 900, ""learning_rate"": 0.02, ""num_leaves"": 63, ""min_child_samples"": 50, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 0.2}}"
0,High cancellation risk,LGBM_Default,128.41979718815415,325,{}
0,High cancellation risk,AggregateMLP_Disagg,449.9612691619273,325,"{""params"": {""hidden_layer_sizes"": [16, 8], ""activation"": ""tanh"", ""solver"": ""lbfgs"", ""alpha"": 0.01, ""max_iter"": 1000, ""random_state"": 42}, ""n_aggregate_train_weeks"": 10, ""n_aggregate_pred_weeks"": 6, ""n_skus"": 82}"
1,Steady regulars,RF_Default,83.60547433930951,5683,{}
1,Steady regulars,LGBM_Tuned,87.04119200537119,5683,"{""params"": {""n_estimators"": 500, ""learning_rate"": 0.03, ""num_leaves"": 31, ""min_child_samples"": 40, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}}"
1,Steady regulars,LGBM_Default,88.4810159044886,5683,{}
1,Steady regulars,AggregateMLP_Disagg,704.8792672793245,5683,"{""params"": {""hidden_layer_sizes"": [16, 8], ""activation"": ""tanh"", ""solver"": ""lbfgs"", ""alpha"": 0.01, ""max_iter"": 1000, ""random_state"": 42}, ""n_aggregate_train_weeks"": 10, ""n_aggregate_pred_weeks"": 6, ""n_skus"": 1294}"
2,Volatile mid-range,RF_C2_BEST,72.76012682821275,760,{}
2,Volatile mid-range,RF_Default,72.83939645497827,760,{}
2,Volatile mid-range,LGBM_Default,79.16437098496912,760,{}
2,Volatile mid-range,LGBM_Tuned,79.26436012878575,760,"{""params"": {""n_estimators"": 500, ""learning_rate"": 0.03, ""num_leaves"": 31, ""min_child_samples"": 40, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}}"
2,Volatile mid-range,AggregateMLP_Disagg,442.3802530103446,760,"{""params"": {""hidden_layer_sizes"": [16, 8], ""activation"": ""tanh"", ""solver"": ""lbfgs"", ""alpha"": 0.01, ""max_iter"": 1000, ""random_state"": 42}, ""n_aggregate_train_weeks"": 10, ""n_aggregate_pred_weeks"": 6, ""n_skus"": 218}"
